player_name,stand,pitch_type_condensed,game_pk,at_bat_number,pitch_number
"Ortega, Rafael",L,SL,716355,70,1
"Ortega, Rafael",L,FF,716355,70,2
"Ortega, Rafael",L,CB,716355,70,3
"Ortega, Rafael",L,CH,716355,70,4
"Ortega, Rafael",L,SL,716355,70,5
"Mauricio, Ronny",L,CB,716355,71,1
"Mauricio, Ronny",L,SL,716355,71,2
"Mauricio, Ronny",L,CH,716355,71,3
"Mauricio, Ronny",L,CH,716355,71,4
"Mauricio, Ronny",L,CB,716355,71,5
"Mauricio, Ronny",L,CH,716355,71,6
"Alonso, Pete",R,SL,716355,72,1
"Alonso, Pete",R,SL,716355,72,2
"Alonso, Pete",R,CH,716355,72,3
"Palacios, Joshua",L,SL,716409,45,1
"Palacios, Joshua",L,SL,716409,45,2
"Rivas, Alfonso",L,CB,716409,46,1
"Rivas, Alfonso",L,CH,716409,46,2
"Rivas, Alfonso",L,CH,716409,46,3
"Rivas, Alfonso",L,FF,716409,46,4
"Gonzales, Nick",R,SL,716409,47,1
"Gonzales, Nick",R,SI,716409,47,2
"Gonzales, Nick",R,SI,716409,47,3
"Gonzales, Nick",R,SL,716409,47,4
"Gonzales, Nick",R,CH,716409,47,5
"Gonzales, Nick",R,SI,716409,47,6
"Delay, Jason",R,SI,716409,48,1
"Delay, Jason",R,SI,716409,48,2
"Delay, Jason",R,FF,716409,48,3
"Bae, Ji Hwan",L,CB,716409,49,1
"Bae, Ji Hwan",L,CH,716409,49,2
"Reynolds, Bryan",L,CB,716409,50,1
"Reynolds, Bryan",L,CH,716409,50,2
"Reynolds, Bryan",L,FF,716409,50,3
"Reynolds, Bryan",L,CH,716409,50,4
"Reynolds, Bryan",L,FF,716409,50,5
"Reynolds, Bryan",L,CB,716409,50,6
"Reynolds, Bryan",L,CH,716409,50,7
"Reynolds, Bryan",L,FF,716409,50,8
"Reynolds, Bryan",L,CH,716409,50,9
"Reynolds, Bryan",L,FF,716409,50,10
"Reynolds, Bryan",L,FF,716409,50,11
"Triolo, Jared",R,SL,716409,54,1
"Triolo, Jared",R,SL,716409,54,2
"Triolo, Jared",R,SI,716409,54,3
"Suwinski, Jack",L,SL,716409,55,1
"Andujar, Miguel",R,SI,716409,56,1
"Andujar, Miguel",R,SI,716409,56,2
"Andujar, Miguel",R,SL,716409,56,3
"Andujar, Miguel",R,CH,716409,56,4
"Andujar, Miguel",R,SI,716409,56,5
"Andujar, Miguel",R,SL,716409,56,6
"Andujar, Miguel",R,SL,716409,56,7
"Palacios, Joshua",L,FF,716409,57,1
"McNeil, Jeff",L,FF,716454,61,1
"McNeil, Jeff",L,CB,716454,61,2
"Mauricio, Ronny",L,CB,716454,62,1
"Mauricio, Ronny",L,CH,716454,62,2
"Mauricio, Ronny",L,FF,716454,62,3
"Mauricio, Ronny",L,CH,716454,62,4
"Alonso, Pete",R,SL,716454,63,1
"Alonso, Pete",R,SL,716454,63,2
"Alonso, Pete",R,SL,716454,63,3
"Alonso, Pete",R,FF,716454,63,4
"Alonso, Pete",R,CH,716454,63,5
"Alonso, Pete",R,CH,716454,63,6
"Alonso, Pete",R,SI,716454,63,7
"Acuña Jr., Ronald",R,SI,716521,35,1
"Albies, Ozzie",L,SL,716521,36,1
"Albies, Ozzie",L,CH,716521,36,2
"Albies, Ozzie",L,FF,716521,36,3
"Riley, Austin",R,SL,716521,37,1
"Riley, Austin",R,SI,716521,37,2
"Riley, Austin",R,FF,716521,37,3
"Riley, Austin",R,SL,716521,37,4
"Riley, Austin",R,FF,716521,37,5
"Riley, Austin",R,CH,716521,37,6
"Riley, Austin",R,SI,716521,37,7
"Riley, Austin",R,SI,716521,37,8
"Riley, Austin",R,CH,716521,37,9
"Riley, Austin",R,SL,716521,37,10
"Olson, Matt",L,FF,716521,38,1
"Olson, Matt",L,FF,716521,38,2
"Olson, Matt",L,SL,716521,38,3
"Olson, Matt",L,FF,716521,38,4
"Olson, Matt",L,CH,716521,38,5
"Olson, Matt",L,SL,716521,38,6
"Ozuna, Marcell",R,SL,716521,39,1
"Ozuna, Marcell",R,FF,716521,39,2
"Ozuna, Marcell",R,SI,716521,39,3
"d'Arnaud, Travis",R,SL,716521,40,1
"d'Arnaud, Travis",R,SL,716521,40,2
"d'Arnaud, Travis",R,SL,716521,40,3
"d'Arnaud, Travis",R,FF,716521,40,4
"d'Arnaud, Travis",R,SL,716521,40,5
"d'Arnaud, Travis",R,SL,716521,40,6
"d'Arnaud, Travis",R,FF,716521,40,7
"d'Arnaud, Travis",R,SI,716521,40,8
